 ,undamaged_building,slight_damage,moderate_damage,severe_damage
undamaged_building,91573575,19165994,2185220,2014165
slight_damage,11346020,103832839,5863778,9656
moderate_damage,1521128,6079574,50886668,877209
severe_damage,304130,78988,2236850,47475089
