image_id,undamaged_building,slight_damage,moderate_damage,severe_damage
13922,-1,-1,-1,-1
11351,0.0,-1,99.92,-1
11808,100.0,-1,-1,67.13
13330,-1,-1,-1,-1
12523,-1,-1,-1,-1
11619,0.0,-1,53.79,-1
12096,17.69,97.9,-1,-1
11557,5.64,-1,-1,-1
11781,95.64,-1,-1,-1
11328,-1,99.15,-1,-1
13704,88.36,69.27,-1,-1
11934,-1,-1,-1,-1
14851,0.0,-1,-1,95.1
12251,88.45,74.69,-1,-1
14229,-1,-1,-1,93.97
11658,95.81,-1,-1,-1
12058,-1,91.88,-1,-1
14085,96.12,-1,-1,-1
15776,-1,-1,-1,-1
13355,-1,0.0,-1,-1
15125,-1,-1,-1,-1
11641,94.99,77.96,-1,-1
11210,-1,64.37,-1,-1
10972,-1,-1,-1,-1
11078,-1,-1,-1,-1
11568,-1,-1,-1,-1
15887,94.75,-1,90.71,-1
13560,-1,-1,-1,-1
12993,0.0,99.34,-1,-1
11367,14.17,8.35,99.91,-1
15685,93.93,-1,-1,-1
14771,99.07,-1,96.94,-1
12473,-1,99.71,-1,-1
13343,41.01,-1,30.41,88.11
16043,-1,-1,-1,-1
11486,0.0,99.35,-1,-1
11079,-1,-1,-1,-1
13896,85.36,20.27,92.34,-1
14855,2.03,88.88,-1,77.85
10802,6.05,-1,-1,-1
11917,98.35,0.0,0.0,-1
15606,-1,-1,96.22,-1
11127,99.18,96.04,-1,-1
14145,-1,65.24,45.48,-1
13635,-1,96.59,-1,-1
15826,-1,91.56,-1,-1
14918,-1,65.43,-1,-1
11052,-1,91.26,-1,0.0
11878,-1,-1,-1,-1
11193,-1,-1,-1,-1
13677,-1,-1,-1,-1
11434,78.53,3.64,-1,-1
12171,-1,22.04,-1,-1
14897,-1,-1,99.97,-1
11603,-1,-1,70.78,73.91
13039,-1,-1,-1,-1
12334,-1,-1,0.0,86.45
12540,-1,96.86,-1,74.51
13713,-1,48.38,94.53,-1
10938,-1,-1,-1,88.5
14181,97.12,-1,-1,-1
14239,-1,-1,-1,-1
13073,99.28,-1,-1,-1
13123,93.75,-1,-1,-1
11025,-1,0.0,-1,94.53
11012,78.18,98.85,93.92,-1
15348,97.16,-1,-1,-1
14287,98.29,-1,-1,-1
14841,-1,-1,-1,-1
11815,-1,-1,-1,-1
13889,98.06,64.27,-1,-1
12655,-1,-1,85.45,-1
13894,11.9,0.99,74.27,-1
14520,-1,-1,-1,-1
10958,-1,12.17,-1,96.9
13457,-1,-1,-1,-1
14634,-1,-1,-1,-1
15618,-1,-1,-1,62.84
11439,-1,-1,-1,-1
12043,67.88,47.91,-1,-1
13130,78.95,98.85,-1,-1
13524,-1,99.69,-1,-1
10833,-1,-1,0.0,-1
14909,85.6,-1,95.65,-1
11061,-1,-1,-1,99.47
14819,-1,96.32,96.91,-1
12466,-1,52.1,98.03,-1
16045,-1,-1,-1,-1
20417,-1,-1,-1,-1
14264,-1,-1,-1,-1
11171,75.21,90.54,-1,-1
11214,74.74,80.13,-1,-1
13065,-1,32.34,-1,-1
15016,-1,72.3,-1,-1
12522,-1,-1,-1,-1
12085,88.35,88.96,-1,-1
14073,99.28,-1,-1,-1
11829,-1,-1,0.0,41.15
13359,-1,-1,-1,42.3
15201,-1,-1,-1,-1
11136,-1,-1,-1,-1
11592,-1,-1,-1,78.06
14845,45.19,-1,-1,99.62
11828,-1,-1,-1,0.0
11539,96.61,3.23,-1,-1
15359,98.16,-1,-1,-1
10839,-1,-1,21.22,87.21
11237,99.8,22.28,-1,0.12
12712,64.56,88.52,0.0,-1
15402,95.07,-1,-1,-1
12066,-1,-1,-1,-1
11682,-1,72.68,-1,66.71
12116,-1,99.76,-1,98.37
12697,-1,-1,-1,-1
12816,2.76,93.75,-1,-1
14740,-1,92.1,-1,-1
12308,0.0,93.58,95.51,-1
16498,92.1,96.59,-1,-1
16296,97.81,-1,-1,-1
13965,80.69,0.0,-1,-1
15875,-1,-1,-1,-1
11892,-1,-1,-1,-1
14906,52.28,-1,-1,-1
12117,-1,93.7,-1,98.85
10944,-1,89.81,-1,-1
12745,-1,-1,-1,-1
13657,97.82,96.82,99.86,57.01
12623,-1,89.05,99.81,-1
11662,96.08,0.0,-1,81.92
12405,-1,54.92,94.21,91.54
12331,-1,78.35,83.19,-1
10931,-1,-1,-1,29.41
12900,0.0,-1,-1,92.86
11594,-1,-1,-1,89.59
15562,-1,-1,-1,-1
14821,-1,-1,71.5,-1
15840,81.56,75.98,-1,-1
15183,-1,-1,94.63,-1
12090,-1,-1,-1,-1
12819,-1,90.26,96.24,19.21
12542,-1,95.66,96.04,94.22
12972,-1,-1,-1,-1
11561,93.6,0.0,93.56,-1
13245,99.39,-1,-1,-1
10907,88.43,-1,-1,-1
12372,-1,-1,-1,-1
15339,-1,-1,-1,-1
14044,-1,-1,-1,-1
14119,98.49,-1,4.1,-1
15358,98.4,-1,-1,-1
14021,-1,0.57,-1,-1
14055,96.1,0.31,96.27,-1
10929,-1,-1,-1,81.53
14532,96.27,81.22,-1,-1
12330,-1,-1,100.0,-1
15150,-1,-1,-1,-1
14265,-1,-1,-1,-1
14001,-1,-1,-1,-1
14294,94.62,-1,-1,-1
10943,-1,93.61,-1,-1
14161,95.91,-1,-1,-1
11303,-1,34.3,-1,-1
12680,0.0,49.45,44.89,-1
13345,-1,-1,-1,93.17
12457,-1,-1,97.82,77.59
13120,98.12,96.91,-1,-1
15357,96.21,-1,-1,-1
