 ,undamaged_building,slight_damage,moderate_damage,severe_damage
undamaged_building,91852974,18566109,2055755,1935784
slight_damage,11297201,103193839,7223255,2667
moderate_damage,426678,7992471,54581039,1028145
severe_damage,1597,166530,3199067,47523814
