image_id,undamaged_building,slight_damage,moderate_damage,severe_damage
13922,-1,-1,-1,-1
11351,0.0,-1,94.37,-1
11808,99.99,-1,-1,67.28
13330,-1,-1,-1,-1
12523,-1,-1,-1,-1
11619,0.0,-1,0.0,-1
12096,96.7,96.73,-1,-1
11557,85.67,-1,-1,-1
11781,97.1,-1,-1,-1
11328,-1,96.55,-1,-1
13704,39.3,94.39,-1,-1
11934,-1,-1,-1,-1
14851,64.24,-1,-1,89.7
12251,55.49,79.08,-1,-1
14229,-1,-1,-1,96.86
11658,99.55,-1,-1,-1
12058,-1,93.33,-1,-1
14085,95.97,-1,-1,-1
15776,-1,-1,-1,-1
13355,-1,0.0,-1,-1
15125,-1,-1,-1,-1
11641,94.74,91.81,-1,-1
11210,-1,94.14,-1,-1
10972,-1,-1,-1,-1
11078,-1,-1,-1,-1
11568,-1,-1,-1,-1
15887,97.37,-1,90.73,-1
13560,-1,-1,-1,-1
12993,0.0,99.73,-1,-1
11367,0.26,37.03,98.45,-1
15685,97.12,-1,-1,-1
14771,98.97,-1,97.98,-1
12473,-1,99.92,-1,-1
13343,84.36,-1,0.0,90.42
16043,-1,-1,-1,-1
11486,0.12,94.59,-1,-1
11079,-1,-1,-1,-1
13896,95.88,91.48,84.16,-1
14855,95.0,75.53,-1,91.13
10802,6.05,-1,-1,-1
11917,98.53,3.6,67.68,-1
15606,-1,-1,19.75,-1
11127,98.68,54.13,-1,-1
14145,-1,79.32,43.06,-1
13635,-1,95.0,-1,-1
15826,-1,94.45,-1,-1
14918,-1,96.83,-1,-1
11052,-1,92.6,-1,0.0
11878,-1,-1,-1,-1
11193,-1,-1,-1,-1
13677,-1,-1,-1,-1
11434,81.81,4.24,-1,-1
12171,-1,34.39,-1,-1
14897,-1,-1,99.68,-1
11603,-1,-1,84.8,86.79
13039,-1,-1,-1,-1
12334,-1,-1,0.0,74.65
12540,-1,99.94,-1,58.92
13713,-1,96.78,90.51,-1
10938,-1,-1,-1,91.93
14181,96.57,-1,-1,-1
14239,-1,-1,-1,-1
13073,99.3,-1,-1,-1
13123,95.6,-1,-1,-1
11025,-1,0.0,-1,84.58
11012,95.18,98.95,96.57,-1
15348,99.3,-1,-1,-1
14287,99.23,-1,-1,-1
14841,-1,-1,-1,-1
11815,-1,-1,-1,-1
13889,90.9,98.8,-1,-1
12655,-1,-1,97.54,-1
13894,98.37,99.33,97.19,-1
14520,-1,-1,-1,-1
10958,-1,34.54,-1,7.82
13457,-1,-1,-1,-1
14634,-1,-1,-1,-1
15618,-1,-1,-1,74.08
11439,-1,-1,-1,-1
12043,70.73,90.35,-1,-1
13130,97.21,96.73,-1,-1
13524,-1,99.31,-1,-1
10833,-1,-1,53.44,-1
14909,97.06,-1,88.93,-1
11061,-1,-1,-1,98.24
14819,-1,92.62,98.42,-1
12466,-1,37.64,98.92,-1
16045,-1,-1,-1,-1
20417,-1,-1,-1,-1
14264,-1,-1,-1,-1
11171,87.5,42.26,-1,-1
11214,62.57,41.96,-1,-1
13065,-1,92.79,-1,-1
15016,-1,98.22,-1,-1
12522,-1,-1,-1,-1
12085,97.93,91.17,-1,-1
14073,99.74,-1,-1,-1
11829,-1,-1,0.0,64.8
13359,-1,-1,-1,79.09
15201,-1,-1,-1,-1
11136,-1,-1,-1,-1
11592,-1,-1,-1,91.01
