 ,undamaged_building,slight_damage,moderate_damage,severe_damage
undamaged_building,95196748,14831231,1668766,1838361
slight_damage,11388850,102960842,5662395,137017
moderate_damage,995493,6209482,49246427,2056046
severe_damage,110710,382577,1032813,47973352
