 ,undamaged_building,slight_damage,moderate_damage,severe_damage
undamaged_building,99653561,13571958,1458173,2095413
slight_damage,13958671,102411009,5657781,97532
moderate_damage,1124767,8007547,53069761,1401906
severe_damage,32032,116331,1886527,48690303
