 ,undamaged_building,slight_damage,moderate_damage,severe_damage
undamaged_building,96845091,14292878,1574762,1738188
slight_damage,13803590,100997300,5810390,53065
moderate_damage,1685282,7955759,48775199,434523
severe_damage,482595,55110,2160753,44251822
