image_id,undamaged_building,slight_damage,moderate_damage,severe_damage
13922,-1,-1,-1,-1
11351,0.0,-1,99.14,-1
11808,100.0,-1,-1,64.89
13330,-1,-1,-1,-1
12523,-1,-1,-1,-1
11619,0.0,-1,34.94,-1
12096,76.07,97.68,-1,-1
11557,44.96,-1,-1,-1
11781,99.23,-1,-1,-1
11328,-1,97.72,-1,-1
13704,54.47,96.37,-1,-1
11934,-1,-1,-1,-1
14851,10.39,-1,-1,92.12
12251,90.39,45.94,-1,-1
14229,-1,-1,-1,93.84
11658,89.12,-1,-1,-1
12058,-1,96.08,-1,-1
14085,93.12,-1,-1,-1
15776,-1,-1,-1,-1
13355,-1,0.0,-1,-1
15125,-1,-1,-1,-1
11641,97.97,37.75,-1,-1
11210,-1,0.0,-1,-1
10972,-1,-1,-1,-1
11078,-1,-1,-1,-1
11568,-1,-1,-1,-1
15887,95.3,-1,89.24,-1
13560,-1,-1,-1,-1
12993,0.0,99.09,-1,-1
11367,99.49,25.41,87.67,-1
15685,84.27,-1,-1,-1
14771,97.97,-1,94.38,-1
12473,-1,99.49,-1,-1
13343,3.09,-1,7.4,78.76
16043,-1,-1,-1,-1
11486,0.0,89.87,-1,-1
11079,-1,-1,-1,-1
13896,86.58,86.7,89.41,-1
14855,87.26,87.04,-1,61.72
10802,6.05,-1,-1,-1
11917,98.79,0.0,0.47,-1
15606,-1,-1,90.28,-1
11127,99.19,56.0,-1,-1
14145,-1,57.55,12.22,-1
13635,-1,95.89,-1,-1
15826,-1,78.92,-1,-1
14918,-1,58.02,-1,-1
11052,-1,90.69,-1,0.0
11878,-1,-1,-1,-1
11193,-1,-1,-1,-1
13677,-1,-1,-1,-1
11434,92.31,0.0,-1,-1
12171,-1,7.23,-1,-1
14897,-1,-1,87.29,-1
11603,-1,-1,62.66,78.7
13039,-1,-1,-1,-1
12334,-1,-1,0.0,76.19
12540,-1,94.26,-1,63.05
13713,-1,99.15,94.88,-1
10938,-1,-1,-1,93.48
14181,94.68,-1,-1,-1
14239,-1,-1,-1,-1
13073,98.68,-1,-1,-1
13123,56.35,-1,-1,-1
11025,-1,0.0,-1,92.8
11012,85.88,88.49,99.58,-1
15348,98.31,-1,-1,-1
14287,98.52,-1,-1,-1
14841,-1,-1,-1,-1
11815,-1,-1,-1,-1
13889,98.23,97.92,-1,-1
12655,-1,-1,91.92,-1
13894,46.77,0.0,68.86,-1
14520,-1,-1,-1,-1
10958,-1,6.47,-1,99.95
13457,-1,-1,-1,-1
14634,-1,-1,-1,-1
15618,-1,-1,-1,75.77
11439,-1,-1,-1,-1
12043,76.94,83.85,-1,-1
13130,79.86,95.14,-1,-1
13524,-1,98.32,-1,-1
10833,-1,-1,36.66,-1
14909,93.84,-1,92.88,-1
11061,-1,-1,-1,92.3
14819,-1,79.57,93.52,-1
12466,-1,21.26,99.35,-1
16045,-1,-1,-1,-1
20417,-1,-1,-1,-1
14264,-1,-1,-1,-1
11171,79.41,21.91,-1,-1
11214,20.73,93.82,-1,-1
13065,-1,71.76,-1,-1
15016,-1,29.22,-1,-1
12522,-1,-1,-1,-1
12085,97.48,94.76,-1,-1
14073,99.94,-1,-1,-1
11829,-1,-1,0.0,66.34
13359,-1,-1,-1,5.88
15201,-1,-1,-1,-1
11136,-1,-1,-1,-1
11592,-1,-1,-1,87.37
14845,0.0,-1,-1,99.81
11828,-1,-1,-1,0.42
11539,98.69,38.28,-1,-1
15359,99.24,-1,-1,-1
10839,-1,-1,55.4,88.35
11237,99.64,22.16,-1,14.61
12712,58.92,96.62,0.01,-1
15402,98.43,-1,-1,-1
12066,-1,-1,-1,-1
11682,-1,0.0,-1,69.31
12116,-1,99.46,-1,98.0
12697,-1,-1,-1,-1
12816,28.5,28.79,-1,-1
14740,-1,0.0,-1,-1
12308,27.13,52.58,95.6,-1
16498,92.75,94.06,-1,-1
16296,87.4,-1,-1,-1
13965,91.27,0.0,-1,-1
15875,-1,-1,-1,-1
11892,-1,-1,-1,-1
14906,90.86,-1,-1,-1
12117,-1,88.25,-1,89.88
10944,-1,91.86,-1,-1
12745,-1,-1,-1,-1
13657,97.64,87.86,99.64,78.33
12623,-1,87.21,100.0,-1
11662,95.68,0.0,-1,92.08
12405,-1,21.77,69.61,92.61
12331,-1,35.45,73.79,-1
10931,-1,-1,-1,55.54
12900,0.0,-1,-1,92.37
11594,-1,-1,-1,83.81
15562,-1,-1,-1,-1
14821,-1,-1,9.3,-1
15840,84.74,52.8,-1,-1
15183,-1,-1,50.53,-1
12090,-1,-1,-1,-1
12819,-1,89.95,58.98,5.67
12542,-1,89.06,94.49,55.52
12972,-1,-1,-1,-1
11561,98.22,0.0,19.18,-1
13245,99.69,-1,-1,-1
10907,92.66,-1,-1,-1
12372,-1,-1,-1,-1
15339,-1,-1,-1,-1
14044,-1,-1,-1,-1
14119,93.9,-1,23.22,-1
15358,99.21,-1,-1,-1
14021,-1,0.0,-1,-1
14055,92.8,35.48,65.56,-1
10929,-1,-1,-1,79.21
14532,97.25,89.02,-1,-1
