 ,undamaged_building,slight_damage,moderate_damage,severe_damage
undamaged_building,94510061,16261375,2109698,2185318
slight_damage,14587522,95385785,9136624,101770
moderate_damage,1096365,8288183,51139880,2099533
severe_damage,50520,0,2066928,47745476
