 ,undamaged_building,slight_damage,moderate_damage,severe_damage
undamaged_building,97571770,13274530,2279098,1904364
slight_damage,16749821,95746811,6650050,200908
moderate_damage,1484617,8346887,49728344,1101958
severe_damage,13657,44189,2587975,47335948
